Year,Area harvested,Production,Yield
1975,535066,209018,0.3906
1972,7400,3000,0.4054
2014,2060,3485,1.6917
2000,900,860,0.9556
1982,1445,661,0.4574
1972,29704,10262,0.3455
2008,26897,10128,0.3765
1967,800,240,0.3
1963,2400,1300,0.5417
1987,16000,8000,0.5
2002,32420,18463,0.5695
2008,2100,1636,0.779
2017,24115,10031,0.41600000000000004
1967,1240,650,0.5242
1996,80322,47397,0.5901
1961,8500,4530,0.5329
2009,42300,51037,1.2065
1961,21748,6374,0.2931
2008,995,835,0.8393
1979,2200,1100,0.5
1989,8350,4600,0.5509
2013,2600,500,0.1923
1968,13000,8000,0.6154
2001,757910,804111,1.061
1969,5065,2905,0.5735
1961,1800,1500,0.8333
1962,5080,1900,0.374
1982,6000,3200,0.5333
2015,10248,4532,0.4422
2010,3000,2000,0.6667
1971,6000,2000,0.3333
1966,50200,27400,0.5458
1974,2000,900,0.45
1979,6500,4000,0.6154
1993,73125,32254,0.4411
2015,21664,22783,1.0517
1981,38155,11055,0.2897
1970,17000,13325,0.7838
1985,42447,11995,0.2826
2008,2250,550,0.2444
1980,27000,5000,0.1852
2013,82,52,0.6394
2006,1992,1617,0.8115
2007,563,285,0.5059
2001,32880,14360,0.4367
1998,110,73,0.6636
2018,39304,26861,0.6834
2012,831,620,0.7461
1981,75202,48084,0.6394
1980,44078,18267,0.4144
1972,1807,2086,1.1544
1982,2600,900,0.3462
1993,31600,24500,0.7753
2018,5278,1758,0.3331
1999,23000,14000,0.6087
2003,770,650,0.8442
1998,20143,12994,0.6451
2004,624987,704306,1.1269
1989,1800,1110,0.6167
1964,68357,46561,0.6811
1970,30760,10160,0.3303
1986,1001106,248226,0.248
2003,62000,42800,0.6903
1973,37000,18100,0.4892
1986,36600,13400,0.3661
1995,2118,1386,0.6547
1996,27000,11000,0.4074
2015,79010,51605,0.6531
2012,36722,26764,0.7288
1986,99980,45000,0.4501
1974,9000,6000,0.6667
1992,35,50,1.4286
1989,150,80,0.5333
2013,8157,6061,0.7431
1965,24640,18300,0.7427
1970,334,102,0.3054
1970,12500,5700,0.456
1993,45040,11755,0.261
1974,6000,2000,0.3333
2018,725,798,1.1007
1967,140,50,0.3571
1980,16227,15918,0.981
1996,70000,23000,0.3286
1996,22000,13000,0.5909
2005,61908,29012,0.4686
1972,7000,3000,0.4286
1997,1100,900,0.8182
1997,15900,6500,0.4088
2011,9000,6000,0.6667
2011,37000,33000,0.8919
1991,802897,167900,0.2091
1983,100000,30000,0.3
1992,2537,605,0.2384
1964,33200,19200,0.5783
2009,3388,760,0.2245
1980,45000,26000,0.5778
1977,348,129,0.3707
1979,30500,11300,0.3705
2001,60921,31230,0.5126
2008,22212,23895,1.0758
2001,592,297,0.5006
1980,410,250,0.6098
2001,1278,615,0.4812
2004,4051,3161,0.7803
1964,109000,30000,0.2752
1967,1040,400,0.3846
1997,3,1,0.3333
1970,48000,22000,0.4583
2005,25000,16000,0.64
2002,118,85,0.7195
1988,109500,46000,0.4201
1967,150,80,0.5333
2005,9225,2472,0.268
1985,27000,5000,0.1852
2018,15227,4046,0.2657
1969,17436,7708,0.4421
2012,207000,124000,0.599
2017,291173,163787,0.5625
1969,67000,41000,0.6119
2004,18050,19181,1.0627
1964,9087,3818,0.4202
1978,35723,19018,0.5324
1975,57000,37300,0.6544
1972,85,50,0.5882
1965,2000,480,0.24
1967,16000,11975,0.7484
1986,27300,12100,0.4432
1965,43300,11971,0.2765
1999,54257,31460,0.5798
2003,1059,594,0.5609
2001,9300,4930,0.5301
1981,530,240,0.4528
1993,180,100,0.5556
1968,150,80,0.5333
2005,92,57,0.6196
1980,7300,1650,0.226
2006,148458,62050,0.418
1977,2000,1000,0.5
2008,5000,3000,0.6
2007,21750,16300,0.7494
2014,1778000,828000,0.4657
1961,7760,2532,0.3263
2013,15442,4173,0.2702
2009,397,221,0.5569
2006,68500,20561,0.3002
1968,9500,5200,0.5474
2004,55600,33100,0.5953
1977,598291,92523,0.1546
2011,17530,19608,1.1185
1988,24884,10080,0.4051
1964,3572,1690,0.4731
1982,964600,342000,0.3546
2001,51543,26910,0.5221
1975,669,203,0.3034
1994,23000,14000,0.6087
1992,746790,516275,0.6913
1966,2000,500,0.25
1982,23047,8017,0.3479
1965,5747,1583,0.2754
2017,920,763,0.8297
1984,72772,41708,0.5731
1962,300,189,0.63
1989,52961,27474,0.5188
2010,1519191,787400,0.5183
1990,2515500,835300,0.3321
2007,44000,22000,0.5
1983,24800,15000,0.6048
1983,17640,14800,0.8390000000000001
2016,15444,3175,0.2056
2010,47000,17000,0.3617
1990,8730,4500,0.5155
1998,71084,32124,0.4519
1962,17440,16000,0.9174
2004,43505,17548,0.4034
1983,19984,5675,0.284
1977,7100,1550,0.2183
1997,44549,28054,0.6297
1980,135000,41000,0.3037
1994,27370,17268,0.6309
1984,36800,22100,0.6005
2008,14817,4000,0.27
1974,4000,2000,0.5
1965,50182,24384,0.4859
1980,263999,136636,0.5176
1982,530,245,0.4623
1981,81,61,0.7531
2005,1200,950,0.7917
1993,348,230,0.66
1994,29000,13000,0.4483
1980,3700,3700,1.0
1999,51567,31262,0.6062
2002,1770,1220,0.6893
2008,19,38,1.9973
1976,120,70,0.5833
1988,12560,6700,0.5334
1983,95000,42000,0.4421
1976,42641,19028,0.4462
2011,14360,11300,0.7869
1996,18105,2243,0.1239
1994,5891,1563,0.2653
1969,4000,2000,0.5
2006,48,24,0.5
1977,24508,11533,0.4706
1994,190,3,0.0158
1998,600,300,0.5
1989,100000,40000,0.4
1976,3837,3454,0.9002
2015,12257,3178,0.2592
1981,27000,5000,0.1852
1964,2000,1000,0.5
1961,8845,4501,0.5089
2017,40000,30000,0.75
1968,885,400,0.452
1991,679533,436000,0.6416
1998,2592,605,0.2334
1980,55000,15000,0.2727
2001,4949,1386,0.28
1988,3800,2000,0.5263
1974,32200,17200,0.5342
2012,12000,32000,2.6667
1980,2471900,445800,0.1803
1992,22900,14000,0.6114
1981,10375,5900,0.5687
1988,12180,14000,1.1494
1994,49000,28000,0.5714
1970,26500,6310,0.2381
1972,5000,3000,0.6
1971,7804,4655,0.5965
2010,66145,47542,0.7188
1983,7000,2000,0.2857
1985,35719,11066,0.3098
2007,21776,23212,1.0659
2012,10000,6000,0.6
1970,300,100,0.3333
1978,187,71,0.3797
1989,530,270,0.5094
1971,47000,31400,0.6681
2017,76086,54824,0.7206
2013,99500,39400,0.396
1984,13000,12000,0.9231
2018,45000,31000,0.6889
2001,3100,1900,0.6129
1985,27,13,0.4815
2013,1524452,817100,0.536
1963,825000,268000,0.3248
1985,93198,45176,0.4847
2001,20,11,0.55
1964,40000,11708,0.2927
1975,7000,3000,0.4286
2017,260380,366000,1.4056
1967,16890,6466,0.3828
1979,510,220,0.4314
2012,12000,3000,0.25
1970,6219,2840,0.4567
2002,35,27,0.7714
1993,16940,11500,0.6789
1965,2700,2000,0.7407
2015,38000,28000,0.7368
2005,28450,37140,1.3054
2011,394,226,0.5755
2007,230,135,0.5870000000000001
1980,2200,1100,0.5
1995,23000,14000,0.6087
1981,29200,11860,0.4062
2007,20,39,1.9607
2014,11000,10000,0.9091
1992,2100,1299,0.6187
1979,200,90,0.45
2013,1000,900,0.9
1998,3,1,0.3333
2014,42000,29000,0.6905
1969,52100,14000,0.2687
1969,300,100,0.3333
2004,16124,10207,0.633
2003,24000,15000,0.625
2009,41000,14839,0.3619
1987,15740,4958,0.315
1967,36000,15500,0.4306
2015,38205,35764,0.9361
1983,10775,6200,0.5754
1995,4100,2400,0.5854
1977,204701,121318,0.5927
1987,40,25,0.625
1999,13,12,0.9231
1993,220,75,0.3409
1990,5000,3000,0.6
1972,13439,6706,0.499
1962,2000,420,0.21
1995,33000,28600,0.8667
2013,10544,7768,0.7367
2013,420154,624831,1.4871
2018,29059,21250,0.7313
2018,83372,35699,0.4282
2017,46809,25783,0.5508
2005,12572,2195,0.1746
1982,15106,8301,0.5495
1972,175,147,0.84
1986,84551,49059,0.5802
1976,25000,7000,0.28
1970,107000,30000,0.2804
1978,26900,13700,0.5093
1995,42000,33561,0.7991
1985,34600,13420,0.3879
2009,76,60,0.7895
1979,957739,209557,0.2188
2005,594228,625844,1.0532
2018,325114,172539,0.5307
2007,58627,28673,0.4891
1992,42981,22776,0.5299
1989,4200,2200,0.5238
1998,25000,10000,0.4
2013,44785,29111,0.65
2016,207000,135000,0.6522
1996,50000,30000,0.6
1988,13357,9291,0.6956
2007,4300,2600,0.6047
1996,99464,44927,0.4517
2011,248,147,0.5956
1993,10203,4773,0.4678
1981,5000,3000,0.6
1990,84819,39000,0.4598
1968,2253,1800,0.7989
2004,1,1,1.0
1965,50000,30000,0.6
1999,24000,15000,0.625
1987,86,24,0.2791
1962,56705,28084,0.4953
2005,30123,7113,0.2361
1974,174036,71824,0.4127
2000,3600,2100,0.5833
1963,86966,35000,0.4025
1966,35000,9300,0.2657
1983,102298,56643,0.5537
1965,10000,6000,0.6
2004,10889,4900,0.45
1983,240,110,0.4583
2000,24587,7390,0.3006
2008,35874,27286,0.7606
1974,22744,8128,0.3574
2001,800,650,0.8125
1975,2200,550,0.25
1988,384,128,0.3333
2014,5346,3765,0.7044
1977,130,80,0.6154
1985,150,80,0.5333
1999,860,700,0.8140000000000001
1987,977,557,0.5701
1990,110000,44000,0.4
2006,60000,42000,0.7
1993,753600,563000,0.7471
2018,210000,140000,0.6667
1985,17500,8500,0.4857
1989,83000,28000,0.3373
1987,3950,1463,0.3704
1976,28000,14141,0.505
2011,30240,39468,1.3052
2014,429100,629900,1.4680000000000002
1969,19600,14600,0.7449
1991,115000,46000,0.4
1978,7200,1600,0.2222
1991,1977,1200,0.607
1963,10500,4500,0.4286
1975,11300,5000,0.4425
1999,11200,7360,0.6571
1995,235,148,0.6298
1973,30000,5298,0.1766
2006,47337,22887,0.4835
1980,13500,4000,0.2963
1965,140,50,0.3571
1982,480,100,0.2083
2008,471600,586293,1.2432
1965,2442,1837,0.7523
1962,2000,1000,0.5
1966,4000,2300,0.575
2005,25137,10000,0.3978
1982,75000,21000,0.28
1979,46150,19342,0.4191
1965,8800,6300,0.7159
2006,23,44,1.93
1975,54000,33000,0.6111
2014,39924,31992,0.8013
2011,1190,1137,0.9555
1991,7,1,0.1429
1980,775000,259000,0.3342
1967,8700,5000,0.5747
2001,17444,8957,0.5135
1974,11392,13910,1.2209999999999999
1997,22000,13000,0.5909
1969,7500,3000,0.4
2013,23184,12392,0.5345
2003,33991,21957,0.6459999999999999
1985,11000,6000,0.5455
1974,11628,7256,0.624
2010,2735,4664,1.7051
2018,1663,3085,1.8548
2007,299280,117700,0.3933
2013,6000,2000,0.3333
1997,590,290,0.4915
1981,1926,1088,0.5649
1999,20,11,0.55
2012,25,20,0.7974
2008,11067,4980,0.45
1985,48000,27000,0.5625
1972,602199,260300,0.4322
1967,659000,296000,0.4492
2012,28949,16221,0.5603
2011,5,1,0.2
1978,2389100,514100,0.2152
2014,96318,64911,0.6739
1984,530,250,0.4717
1977,150,80,0.5333
1997,9060,4720,0.521
1972,4000,2000,0.5
2003,2596,595,0.2292
1968,140032,76222,0.5443
1972,6000,2000,0.3333
1987,46000,26400,0.5739
1983,22362,8802,0.3936
1988,2000,1400,0.7
1991,405,204,0.5036
2010,11212,5020,0.4477
2001,36800,22000,0.5978
1987,7000,3000,0.4286
1967,334,102,0.3054
1971,169308,93937,0.5548
1999,5633,2872,0.5099
1992,18683,10762,0.5760000000000001
2012,3,5,1.6667
1962,6000,1600,0.2667
1985,9240,9000,0.9740000000000001
1986,88423,48247,0.5456
2003,1700300,782100,0.46
2009,7489,4559,0.6088
2018,1207,792,0.6559999999999999
1992,82772,34000,0.4108
2015,39907,60750,1.5223
2017,699,633,0.9056
2018,46421,32494,0.7
1982,44250,27000,0.6102
1971,33600,16800,0.5
1973,7000,3000,0.4286
1980,93,65,0.6989
1968,7500,3000,0.4
1980,9125,4400,0.4822
1972,1246,307,0.2464
1996,5204,1400,0.26899999999999996
1986,530,255,0.4811
1983,20000,6000,0.3
2013,380,235,0.6184
1978,141335,65254,0.4617
1972,4500,2500,0.5556
1986,15400,8800,0.5714
1970,6000,1200,0.2
2012,1000,900,0.9
1990,58347,38069,0.6525
1978,12400,5400,0.4355
1996,134,207,1.5448
2012,651735,456000,0.6997
2014,11667,3019,0.2588
2018,539089,572761,1.0625
1998,9204,4869,0.529
1968,28480,21900,0.769
1970,7000,4000,0.5714
1980,630724,109941,0.1743
1971,17000,14000,0.8235
1997,23000,14000,0.6087
1972,276495,160572,0.5807
2003,221,130,0.5896
1992,25300,10985,0.4342
1986,14000,7000,0.5
1986,3000,2400,0.8
2007,48168,29050,0.6031
1972,300,100,0.3333
1987,4201,5249,1.2495
1969,65,40,0.6154
1990,110432,59864,0.5421
2011,38,63,1.6579
1984,858668,476341,0.5547
2001,52500,31751,0.6048
1998,1978,1371,0.6933
1993,79957,30000,0.3752
1976,6000,3000,0.5
1989,370,190,0.5135
1970,1134,788,0.6949
1997,16931,2808,0.1658
1961,5000,1000,0.2
1976,9500,4200,0.4421
1980,38684,11316,0.2925
1973,15226,5108,0.3355
2015,25,41,1.64
1989,26000,4000,0.1538
2004,138,90,0.6522
1995,642000,583000,0.9081
1992,54000,16325,0.3023
2002,1001,531,0.5305
1994,59360,31800,0.5357
2004,787,458,0.5820000000000001
1988,2000,400,0.2
2017,3491,3415,0.9782
1987,2000,400,0.2
2017,50000,11500,0.23
1982,19593,20343,1.0383
2002,350,273,0.78
1985,6000,3200,0.5333
2011,50286,26367,0.5243
1992,43431,24546,0.5652
1966,268,51,0.1903
2012,165575,100488,0.6069
1986,31500,28050,0.8905
1978,6000,3000,0.5
1989,31444,17180,0.5464
2010,126,118,0.9365
1984,5000,3000,0.6
1994,126700,56000,0.442
1967,20000,11000,0.55
2016,1495250,812952,0.5437
1972,2288400,385400,0.1684
1983,664,250,0.3765
2006,39939,26545,0.6646
1972,107706,59245,0.5501
2014,431224,632108,1.4658
2008,114700,40696,0.3548
1982,31625,13225,0.4182
1997,40000,32000,0.8
1994,1800,1500,0.8333
2006,49099,25874,0.527
2014,928243,1113982,1.2001
1993,410,220,0.5366
