Year,Area harvested,Production,Yield
1961,33200,19000,0.5723
1961,6000,1600,0.2667
1961,57466,26416,0.4597
1961,2000,400,0.2
1961,5200,3000,0.5769
1961,10000,1895,0.1895
1961,9835,7868,0.8
1961,7760,2532,0.3263
1961,27000,4500,0.1667
1961,15000,5000,0.3333
1961,663845,195501,0.2945
1961,655000,191000,0.2916
1961,8845,4501,0.5089
1961,35166,22000,0.6256
1961,140,50,0.3571
1961,200,100,0.5
1961,4000,2000,0.5
1961,401,102,0.2544
1961,6000,2054,0.3423
1961,487,552,1.1335
1961,11264,10469,0.9294
1961,1900,1700,0.8947
1961,21748,6374,0.2931
1961,1300,700,0.5385
1961,2000,808,0.404
1961,800,220,0.275
1961,753,532,0.7065
1961,2252000,372000,0.1652
1961,10000,6000,0.6
1961,8500,4530,0.5329
1961,4340,1100,0.2535
1961,5170,2200,0.4255
1961,4690,1829,0.39
1961,216670,146820,0.6776
1961,50,30,0.6
1961,4000,2500,0.625
1961,419457,64738,0.1543
1961,10300,6900,0.6699
1961,200000,56000,0.28
1961,43710,11180,0.2558
1961,300,183,0.61
1961,300,200,0.6667
1961,7185,2832,0.3942
1961,1800,1500,0.8333
1961,2000,1000,0.5
1961,10000,4500,0.45
1961,10471,5290,0.5052
1961,7000,4200,0.6
1961,14080,12400,0.8807
1961,5000,1000,0.2
1961,78000,44000,0.5641
1961,109000,34000,0.3119
1961,35000,12193,0.3484
1961,53890,24868,0.4615
1961,7700,3080,0.4
1961,10642,5700,0.5356
1962,33200,19200,0.5783
1962,6000,1600,0.2667
1962,53014,26416,0.4983
1962,2000,420,0.21
1962,8000,4500,0.5625
1962,15000,5660,0.3773
1962,17540,11767,0.6709
1962,7430,4635,0.6238
1962,35000,9000,0.2571
1962,15000,5000,0.3333
1962,723410,259028,0.3581
1962,715000,255000,0.3566
1962,8410,4028,0.479
1962,41978,21000,0.5003
1962,140,50,0.3571
1962,137,64,0.4672
1962,4000,2000,0.5
1962,468,108,0.2308
1962,11000,4893,0.4448
1962,560,587,1.0482
1962,17454,16931,0.97
1962,1500,1400,0.9333
1962,16978,4658,0.2744
1962,2500,1400,0.56
1962,2000,179,0.0895
1962,800,225,0.2813
1962,648,461,0.7114
1962,2552000,492000,0.1928
1962,10000,6000,0.6
1962,9000,5086,0.5651
1962,3815,1700,0.4456
1962,5080,1900,0.374
1962,4170,1626,0.3899
1962,238270,157849,0.6625
1962,50,30,0.6
1962,6000,4000,0.6667
1962,447712,76478,0.1708
1962,9100,6100,0.6703
1962,210000,60000,0.2857
1962,29950,8130,0.2715
1962,300,189,0.63
1962,340,191,0.5618
1962,7990,3063,0.3834
1962,1800,1500,0.8333
1962,2000,1000,0.5
1962,15000,4500,0.3
1962,16528,8098,0.49
1962,8300,5900,0.7108
1962,17440,16000,0.9174
1962,5000,1000,0.2
1962,71000,41000,0.5775
1962,82959,34000,0.4098
1962,30000,9144,0.3048
1962,56705,28084,0.4953
1962,9600,3825,0.3984
1962,10642,6100,0.5732
1963,33200,19200,0.5783
1963,6000,1800,0.3
1963,52205,25400,0.4865
1963,2000,440,0.22
1963,2600,1500,0.5769
1963,21000,4130,0.1967
1963,19000,12300,0.6474
1963,7700,2389,0.3103
1963,35000,9000,0.2571
1963,15000,5000,0.3333
1963,831684,270487,0.3252
1963,825000,268000,0.3248
1963,6684,2487,0.3721
1963,45000,25000,0.5556
1963,140,50,0.3571
1963,150,80,0.5333
1963,4000,2000,0.5
1963,508,112,0.2205
1963,5000,1595,0.319
1963,596,598,1.0034
1963,24779,25553,1.0312
1963,1100,900,0.8182
1963,30000,11169,0.3723
1963,2400,1300,0.5417
1963,2000,820,0.41
1963,800,230,0.2875
1963,711,505,0.7103
1963,2412000,439000,0.182
1963,11500,7000,0.6087
1963,9000,6078,0.6753
1963,2970,1400,0.4714
1963,4510,1700,0.3769
1963,3910,1524,0.3898
1963,250677,169268,0.6752
1963,50,30,0.6
1963,4000,2000,0.5
1963,464769,84908,0.1827
1963,7000,4700,0.6714
1963,185000,53000,0.2865
1963,26710,8130,0.3044
1963,300,195,0.65
1963,350,220,0.6286
1963,7618,2971,0.39
1963,1900,1550,0.8158
1963,2000,1000,0.5
1963,10500,4500,0.4286
1963,17087,7360,0.4307
1963,7487,5322,0.7108
1963,17440,16000,0.9174
1963,5000,1000,0.2
1963,74000,40000,0.5405
1963,86966,35000,0.4025
1963,39000,10908,0.2797
1963,61427,30879,0.5027
1963,8500,3385,0.3982
1963,10237,5700,0.5568
1964,33200,19200,0.5783
1964,7000,3000,0.4286
1964,50991,22352,0.4384
1964,2000,460,0.23
1964,5200,3000,0.5769
1964,30000,6000,0.2
1964,15000,10000,0.6667
1964,6522,3231,0.4954
1964,34000,8300,0.2441
1964,17000,5000,0.2941
1964,798200,311308,0.39
1964,793000,309000,0.3897
1964,5200,2308,0.4438
1964,48000,27000,0.5625
1964,140,50,0.3571
1964,150,80,0.5333
1964,4000,2000,0.5
1964,535,51,0.0953
1964,6000,2017,0.3362
1964,967,933,0.9648
1964,23655,23466,0.992
1964,1300,1300,1
1964,21780,7700,0.3535
1964,1800,1000,0.5556
1964,2000,890,0.445
1964,800,235,0.2938
1964,648,470,0.7253
1964,2486000,484000,0.1947
1964,10000,6000,0.6
1964,10500,7776,0.7406
1964,2620,1550,0.5916
1964,3572,1690,0.4731
1964,1041,406,0.39
1964,261276,171697,0.6571
1964,50,30,0.6
1964,2700,2500,0.9259
1964,383405,53848,0.1404
1964,8600,5800,0.6744
1964,195000,56000,0.2872
1964,33590,9140,0.2721
1964,300,202,0.6733
1964,150,100,0.6667
1964,9087,3818,0.4202
1964,1900,1550,0.8158
1964,2000,1000,0.5
1964,12000,5000,0.4167
1964,15400,7366,0.4783
1964,9653,6527,0.6762
1964,16160,13100,0.8106
1964,5000,1000,0.2
1964,60000,34000,0.5667
1964,109000,30000,0.2752
1964,40000,11708,0.2927
1964,68357,46561,0.6811
1964,8000,3300,0.4125
1964,10842,6200,0.5719
1965,33200,19800,0.5964
1965,7000,2500,0.3571
1965,50182,24384,0.4859
1965,2000,480,0.24
1965,6000,3500,0.5833
1965,25000,6000,0.24
1965,12000,8000,0.6667
1965,5747,1583,0.2754
1965,33000,7500,0.2273
1965,17000,5000,0.2941
1965,668846,258923,0.3871
1965,663300,256000,0.3859
1965,5546,2923,0.527
1965,50000,30000,0.6
1965,140,50,0.3571
1965,150,80,0.5333
1965,4000,2000,0.5
1965,340,61,0.1794
1965,11000,4875,0.4432
1965,2442,1837,0.7523
1965,21814,22496,1.0313
1965,2100,2200,1.0476
1965,11850,4278,0.361
1965,2500,1400,0.56
1965,2000,200,0.1
1965,800,240,0.3
1965,295,214,0.7254
1965,2509000,424000,0.169
1965,10000,6000,0.6
1965,14000,9488,0.6777
1965,1130,920,0.8142
1965,3520,1400,0.3977
1965,2870,1118,0.3895
1965,267234,154401,0.5778
1965,50,30,0.6
1965,2700,2000,0.7407
1965,703119,100400,0.1428
1965,8800,6300,0.7159
1965,210000,61000,0.2905
1965,28330,7110,0.251
1965,300,209,0.6967
1965,100,80,0.8
1965,10233,4164,0.4069
1965,2000,1600,0.8
1965,2000,1000,0.5
1965,14000,6000,0.4286
1965,15097,6710,0.4445
1965,6914,4900,0.7087
1965,24640,18300,0.7427
1965,5000,1000,0.2
1965,60000,34000,0.5667
1965,95000,30000,0.3158
1965,43300,11971,0.2765
1965,87074,54125,0.6216
1965,8000,3200,0.4
1965,10842,6200,0.5719
1966,33200,21000,0.6325
1966,7000,2800,0.4
1966,50200,27400,0.5458
1966,2000,500,0.25
1966,1700,1000,0.5882
1966,20000,4000,0.2
1966,14600,9800,0.6712
1966,4832,1974,0.4085
1966,35000,9300,0.2657
1966,14000,4600,0.3286
1966,684997,291827,0.426
1966,679000,290000,0.4271
1966,5997,1827,0.3047
1966,35000,20000,0.5714
1966,140,50,0.3571
1966,150,80,0.5333
1966,4000,2000,0.5
1966,268,51,0.1903
1966,9000,3707,0.4119
1966,2519,2246,0.8916
1966,12733,11263,0.8846
1966,4500,4900,1.0889
1966,16420,5723,0.3485
1966,2500,1300,0.52
1966,2000,400,0.2
1966,800,240,0.3
1966,934,700,0.7495
1966,2793400,416000,0.1489
1966,13000,8000,0.6154
1966,15000,10914,0.7276
1966,1130,470,0.4159
1966,2200,800,0.3636
1966,2870,1118,0.3895
1966,252109,166669,0.6611
1966,50,30,0.6
1966,4000,2300,0.575
1966,478727,57780,0.1207
1966,8209,5628,0.6856
1966,220000,64000,0.2909
1966,30350,7110,0.2343
1966,300,216,0.72
1966,25,19,0.76
1966,11305,5232,0.4628
1966,2000,1600,0.8
1966,2000,800,0.4
1966,36000,15500,0.4306
1966,10494,4914,0.4683
1966,6400,5700,0.8906
1966,29120,19900,0.6834
1966,5500,1100,0.2
1966,54000,32000,0.5926
1966,96000,34000,0.3542
1966,47310,8949,0.1892
1966,94637,60000,0.634
1966,7500,3200,0.4267
1966,11366,6600,0.5807
1967,33200,21000,0.6325
1967,7000,2400,0.3429
1967,52200,30500,0.5843
1967,3000,800,0.2667
1967,8700,5000,0.5747
1967,20000,4000,0.2
1967,7500,4900,0.6533
1967,10436,3449,0.3305
1967,49000,13000,0.2653
1967,14000,4600,0.3286
1967,665111,299439,0.4502
1967,659000,296000,0.4492
1967,6111,3439,0.5628
1967,20000,11000,0.55
1967,140,50,0.3571
1967,150,80,0.5333
1967,4000,2000,0.5
1967,334,102,0.3054
1967,9000,3930,0.4367
1967,1628,1117,0.6861
1967,9193,8000,0.8702
1967,4400,4700,1.0682
1967,16890,6466,0.3828
1967,7500,4100,0.5467
1967,2000,400,0.2
1967,800,240,0.3
1967,984,722,0.7337
1967,2654300,445000,0.1677
1967,11500,7000,0.6087
1967,16000,11975,0.7484
1967,1240,650,0.5242
1967,1040,400,0.3846
1967,7500,3000,0.4
1967,270764,155323,0.5736
1967,50,30,0.6
1967,4000,2400,0.6
1967,477889,56611,0.1185
1967,9813,6663,0.679
1967,185000,53000,0.2865
1967,31970,9140,0.2859
1967,300,220,0.7333
1967,25,19,0.76
1967,13547,6119,0.4517
1967,2100,1700,0.8095
1967,2000,800,0.4
1967,36000,15500,0.4306
1967,12929,7275,0.5627
1967,11800,9300,0.7881
1967,33120,22700,0.6854
1967,5500,1100,0.2
1967,60000,40000,0.6667
1967,94000,17000,0.1809
1967,37000,11051,0.2987
1967,133256,80542,0.6044
1967,7500,3300,0.44
1967,11406,7155,0.6273
1968,32800,21600,0.6585
1968,6000,2000,0.3333
1968,53000,31500,0.5943
1968,4000,1100,0.275
1968,1700,1000,0.5882
1968,20961,7949,0.3792
1968,13800,8900,0.6449
1968,11207,3770,0.3364
1968,54700,14000,0.2559
1968,40000,12000,0.3
1968,626600,246816,0.3939
1968,621000,244000,0.3929
1968,5600,2816,0.5029
1968,19700,15700,0.797
1968,300,100,0.3333
1968,150,80,0.5333
1968,4000,2000,0.5
1968,268,91,0.3396
1968,10000,4500,0.45
1968,2952,1965,0.6657
1968,10082,10000,0.9919
1968,1300,1400,1.0769
1968,13090,3838,0.2932
1968,9500,5200,0.5474
1968,2000,400,0.2
1968,1300,400,0.3077
1968,1034,744,0.7195
1968,2422800,422500,0.1744
1968,13000,8000,0.6154
1968,16000,12025,0.7516
1968,885,400,0.452
1968,910,500,0.5495
1968,7500,3000,0.4
1968,258991,159060,0.6142
1968,50,30,0.6
1968,6000,3000,0.5
1968,645912,107925,0.1671
1968,10701,7034,0.6573
1968,190000,55000,0.2895
1968,27520,8130,0.2954
1968,300,220,0.7333
1968,25,21,0.84
1968,13599,6537,0.4807
1968,2253,1800,0.7989
1968,2000,800,0.4
1968,36000,15500,0.4306
1968,13657,7262,0.5317
1968,13033,8344,0.6402
1968,28480,21900,0.769
1968,5500,1100,0.2
1968,80000,50000,0.625
1968,96000,23000,0.2396
1968,41150,11186,0.2718
1968,140032,76222,0.5443
1968,7500,3300,0.44
1968,11506,7255,0.6305
1969,33200,22200,0.6687
1969,6000,1500,0.25
1969,50200,30500,0.6076
1969,6000,1500,0.25
1969,2600,1500,0.5769
1969,22000,3755,0.1707
1969,15400,10800,0.7013
1969,14072,5140,0.3653
1969,52100,14000,0.2687
1969,40000,18437,0.4609
1969,604065,258905,0.4286
1969,599000,256000,0.4274
1969,5065,2905,0.5735
1969,19600,14600,0.7449
1969,300,100,0.3333
1969,150,80,0.5333
1969,4000,2000,0.5
1969,281,102,0.363
1969,11000,5000,0.4545
1969,2209,1675,0.7583
1969,14702,16000,1.0883
1969,1400,1500,1.0714
1969,9810,3167,0.3228
1969,5300,4839,0.913
1969,2000,400,0.2
1969,2000,600,0.3
1969,1084,766,0.7066
1969,2308700,448100,0.1941
1969,13000,8000,0.6154
1969,16000,12045,0.7528
1969,955,550,0.5759
1969,367,181,0.4932
1969,7500,3000,0.4
1969,264070,174965,0.6626
1969,65,40,0.6154
1969,7000,4000,0.5714
1969,561703,83117,0.148
1969,11547,7351,0.6366
1969,200000,58000,0.29
1969,22660,8130,0.3588
1969,200,100,0.5
1969,40,32,0.8
1969,17436,7708,0.4421
1969,2500,1700,0.68
1969,2000,800,0.4
1969,36000,15500,0.4306
1969,14818,7971,0.5379
1969,9639,5732,0.5947
1969,25280,18600,0.7358
1969,5500,1100,0.2
1969,67000,41000,0.6119
1969,84000,21800,0.2595
1969,43000,11712,0.2724
1969,153353,82552,0.5383
1969,7500,3300,0.44
1969,11647,7255,0.6229
1970,33200,21000,0.6325
1970,6000,3000,0.5
1970,44900,27400,0.6102
1970,6000,1553,0.2588
1970,7000,4000,0.5714
1970,26500,6310,0.2381
1970,15600,10000,0.641
1970,14637,5047,0.3448
1970,50100,13000,0.2595
1970,30000,11000,0.3667
1970,557953,264784,0.4746
1970,554500,263000,0.4743
1970,3453,1784,0.5167
1970,27400,17900,0.6533
1970,300,100,0.3333
1970,150,80,0.5333
1970,4000,2000,0.5
1970,334,102,0.3054
1970,12500,5700,0.456
1970,2695,2256,0.8371
1970,17223,20000,1.1612
1970,1900,1900,1
1970,17800,6310,0.3545
1970,7000,8280,1.1829
1970,2000,400,0.2
1970,2600,800,0.3077
1970,1134,788,0.6949
1970,2433200,562300,0.2311
1970,10000,6000,0.6
1970,17000,13325,0.7838
1970,920,500,0.5435
1970,643,192,0.2986
1970,7500,3000,0.4
1970,273768,179444,0.6555
1970,85,50,0.5882
1970,5000,2237,0.4474
1970,664096,101707,0.1532
1970,9894,6723,0.6795
1970,107000,30000,0.2804
1970,30760,10160,0.3303
1970,220,109,0.4955
1970,170,114,0.6706
1970,25773,10386,0.403
1970,2700,1800,0.6667
1970,1793,804,0.4484
1970,48000,22000,0.4583
1970,11989,13000,1.0843
1970,6219,2840,0.4567
1970,26560,20200,0.7605
1970,6000,1200,0.2
1970,62000,36000,0.5806
1970,66000,17000,0.2576
1970,43000,11315,0.2631
1970,178072,125639,0.7056
1970,7500,3400,0.4533
1970,8047,5455,0.6779
1971,33600,16800,0.5
1971,6000,2000,0.3333
1971,47515,28977,0.6098
1971,8000,2164,0.2705
1971,6000,3500,0.5833
1971,21980,4008,0.1823
1971,9100,7700,0.8462
1971,17815,6787,0.381
1971,46200,12000,0.2597
1971,22200,11100,0.5
1971,594474,281511,0.4735
1971,591000,280000,0.4738
1971,3474,1511,0.4349
1971,47000,31400,0.6681
1971,300,100,0.3333
1971,150,80,0.5333
1971,4000,2000,0.5
1971,375,234,0.624
1971,11700,5200,0.4444
1971,1975,1890,0.957
1971,17164,20567,1.1983
1971,1300,1400,1.0769
1971,14300,5388,0.3768
1971,7700,6745,0.876
1971,2000,400,0.2
1971,3300,1000,0.303
